id,Co,Ni,Fe,Mn,Cu,overpotential,umap_1,umap_2,,,,,,
100,0.3081,0.3435,0.1644,0.0864,0.0977,266.1,2.9704792,12.057471,,30.81,34.35,16.44,8.64,9.77
2,0.27,0.07,0.1,0.21,0.35,301.3,6.6745305,11.11194,,27,7,10,21,35
3,0.2,0.21,0.23,0.31,0.05,301.5,3.7748802,13.523696,,,,,,
4,0.08,0.23,0.22,0.17,0.3,301.5,1.6229421,11.610788,,,,,,
5,0.28,0.12,0.19,0.23,0.18,301.8,5.7945585,12.359051,,,,,,
6,0.29,0.14,0.28,0.21,0.08,302.2,5.0311556,12.598781,,,,,,
7,0.34,0.1,0.06,0.21,0.29,302.8,6.8143687,11.754186,,,,,,
8,0.1,0.31,0.32,0.13,0.14,304.1,2.2741187,10.088308,,,,,,
9,0.05,0.35,0.26,0.18,0.16,305.1,1.9186715,10.800164,,,,,,
10,0.1,0.33,0.22,0.1,0.25,305.2,2.0833466,11.165597,,,,,,
12,0.3,0.07,0.33,0.07,0.23,305.7,5.400042,10.022472,,,,,,
13,0.19,0.21,0.22,0.16,0.22,305.8,3.6608214,11.148489,,,,,,
14,0.21,0.16,0.26,0.19,0.18,306.2,4.2468133,11.792521,,,,,,
15,0.09,0.21,0.3,0.3,0.1,307,3.9785082,13.693663,,,,,,
16,0.19,0.27,0.3,0.09,0.15,308.1,2.8259084,9.918865,,,,,,
17,0.09,0.28,0.31,0.13,0.19,309,2.326006,10.37581,,,,,,
18,0.33,0.13,0.14,0.16,0.24,309.3,6.1347413,11.5878105,,,,,,
19,0.31,0.07,0.29,0.25,0.08,309.8,5.1055393,12.907837,,,,,,
20,0.07,0.23,0.19,0.23,0.28,309.9,1.5125257,11.877134,,,,,,
21,0.18,0.33,0.2,0.2,0.09,310.6,2.4466248,12.155538,,,,,,
22,0.18,0.08,0.29,0.35,0.1,310.8,4.5411897,14.118565,,,,,,
23,0.28,0.16,0.26,0.18,0.12,311.1,5.011534,12.41687,,,,,,
24,0.05,0.31,0.2,0.23,0.21,312.1,1.5319579,11.309746,,,,,,
25,0.09,0.33,0.09,0.27,0.22,313,1.893252,12.686203,,,,,,
26,0.35,0.09,0.17,0.2,0.19,313.3,5.982784,12.029078,,,,,,
27,0.34,0.06,0.33,0.15,0.12,313.9,4.955915,12.167506,,,,,,
28,0.19,0.26,0.1,0.27,0.18,314.6,2.3723955,12.853831,,,,,,
29,0.09,0.34,0.33,0.17,0.07,315.1,1.9273821,10.165162,,,,,,
30,0.21,0.13,0.31,0.19,0.16,315.2,4.3672447,12.2600155,,,,,,
31,0.19,0.05,0.3,0.27,0.19,315.4,4.71501,14.429958,,,,,,
32,0.24,0.08,0.3,0.12,0.26,316,5.522288,10.188185,,,,,,
33,0.17,0.31,0.19,0.2,0.13,316.2,2.2154553,12.179024,,,,,,
34,0.16,0.08,0.29,0.3,0.17,317,4.5618715,14.582886,,,,,,
35,0.18,0.15,0.22,0.1,0.35,317,5.000377,10.454743,,,,,,
36,0.15,0.1,0.28,0.28,0.19,317.3,4.386778,14.468352,,,,,,
37,0.26,0.09,0.17,0.17,0.31,317.5,6.0556026,10.813231,,,,,,
38,0.23,0.34,0.29,0.06,0.08,317.9,2.65855,9.911351,,,,,,
39,0.32,0.31,0.05,0.25,0.07,318,2.8651865,12.5603695,,,,,,
40,0.11,0.18,0.34,0.12,0.25,318.9,3.2518315,10.545444,,,,,,
41,0.14,0.18,0.29,0.2,0.19,319.6,3.1686926,10.9939,,,,,,
42,0.06,0.27,0.26,0.16,0.25,321.1,1.8386925,11.281953,,,,,,
43,0.31,0.06,0.07,0.35,0.21,321.3,7.1276326,12.02052,,,,,,
44,0.29,0.15,0.11,0.25,0.2,322.1,6.5453568,11.5733,,,,,,
45,0.07,0.31,0.33,0.24,0.05,323.1,1.61914,10.519199,,,,,,
46,0.11,0.1,0.27,0.35,0.17,323.6,4.171652,14.599128,,,,,,
47,0.33,0.13,0.11,0.24,0.19,323.6,6.4350343,11.902373,,,,,,
48,0.22,0.18,0.13,0.29,0.18,324.5,2.963591,13.376658,,,,,,
49,0.32,0.14,0.17,0.17,0.2,325,5.904543,11.954912,,,,,,
50,0.35,0.17,0.08,0.2,0.2,325.3,6.4162,12.024302,,,,,,
51,0.15,0.21,0.26,0.12,0.26,325.8,3.5243962,10.84013,,,,,,
52,0.08,0.26,0.29,0.2,0.17,326.1,2.279506,10.829923,,,,,,
53,0.32,0.1,0.08,0.26,0.24,326.8,7.055314,11.636584,,,,,,
54,0.33,0.08,0.07,0.28,0.24,327.2,7.1066847,11.645801,,,,,,
55,0.15,0.35,0.12,0.2,0.18,327.7,2.0094395,12.457214,,,,,,
56,0.18,0.06,0.35,0.08,0.33,327.8,5.164762,10.08454,,,,,,
57,0.17,0.33,0.34,0.06,0.1,327.9,2.529766,9.886259,,,,,,
58,0.17,0.18,0.35,0.24,0.06,328,4.173824,13.244697,,,,,,
59,0.15,0.23,0.19,0.09,0.34,328.4,2.8799913,11.348713,,,,,,
60,0.13,0.24,0.27,0.15,0.21,328.7,2.920723,10.713853,,,,,,
61,0.17,0.12,0.15,0.33,0.23,328.7,3.4000614,14.274557,,,,,,
62,0.28,0.14,0.25,0.05,0.28,330.1,5.383715,9.847575,,,,,,
63,0.13,0.12,0.16,0.35,0.24,330.1,3.326747,14.499018,,,,,,
64,0.06,0.12,0.34,0.35,0.13,330.7,4.1364307,14.18899,,,,,,
65,0.33,0.1,0.05,0.24,0.28,331.5,7.019788,11.714402,,,,,,
66,0.22,0.3,0.12,0.25,0.11,332.1,2.5044703,12.625652,,,,,,
67,0.25,0.11,0.2,0.14,0.3,332.1,5.7213545,10.435765,,,,,,
68,0.05,0.34,0.26,0.17,0.18,333.4,1.8864524,10.716999,,,,,,
69,0.24,0.07,0.25,0.3,0.14,334,4.8067307,14.015327,,,,,,
70,0.17,0.06,0.21,0.21,0.35,334.9,5.5589223,10.797057,,,,,,
71,0.21,0.19,0.17,0.33,0.1,335.6,3.3583558,13.522039,,,,,,
72,0.16,0.26,0.31,0.05,0.22,336.3,3.0761406,10.073255,,,,,,
73,0.13,0.19,0.33,0.17,0.18,337,3.0595477,10.794702,,,,,,
74,0.05,0.08,0.18,0.35,0.34,337.2,2.8227444,14.620182,,,,,,
75,0.15,0.12,0.27,0.11,0.35,338.9,4.9150352,10.484957,,,,,,
76,0.35,0.08,0.05,0.35,0.17,339,7.108691,11.953363,,,,,,
77,0.34,0.1,0.26,0.13,0.17,339.5,5.291143,12.091936,,,,,,
78,0.08,0.23,0.22,0.19,0.28,339.5,1.8014458,11.639643,,,,,,
79,0.1,0.23,0.31,0.21,0.15,339.6,2.5557184,10.875707,,,,,,
80,0.25,0.08,0.11,0.29,0.27,340.4,7.0856185,11.528595,,,,,,
81,0.14,0.23,0.07,0.33,0.23,340.9,2.1559405,13.328587,,,,,,
82,0.34,0.19,0.06,0.17,0.24,343.4,6.651079,12.060466,,,,,,
83,0.09,0.22,0.35,0.17,0.17,344.1,2.5547688,10.590887,,,,,,
84,0.11,0.06,0.27,0.35,0.21,345.8,4.0427527,14.648205,,,,,,
85,0.1,0.11,0.23,0.23,0.33,347.9,2.6070204,14.270986,,,,,,
86,0.23,0.05,0.33,0.08,0.31,348,5.301561,9.962,,,,,,
87,0.05,0.29,0.05,0.26,0.35,348.5,1.3334575,12.869447,,,,,,
88,0.05,0.1,0.26,0.27,0.32,348.9,2.6589017,14.394483,,,,,,
89,0.14,0.16,0.25,0.34,0.11,350.7,4.171293,14.042126,,,,,,
90,0.16,0.13,0.32,0.32,0.07,350.9,4.2776456,13.877878,,,,,,
91,0.2,0.08,0.21,0.17,0.34,352.9,5.5949655,10.487363,,,,,,
92,0.13,0.32,0.12,0.18,0.25,354.8,1.7447019,12.396713,,,,,,
93,0.32,0.14,0.21,0.23,0.1,356.1,5.3627424,12.555903,,,,,,
94,0.16,0.29,0.05,0.15,0.35,356.8,1.3090448,12.6483135,,,,,,
95,0.09,0.27,0.35,0.07,0.22,359.1,2.8405693,10.145648,,,,,,
96,0.08,0.09,0.18,0.34,0.31,360.2,3.0503333,14.65257,,,,,,
97,0.12,0.15,0.14,0.28,0.31,372.3,2.896858,14.381388,,,,,,
98,0.06,0.33,0.05,0.23,0.33,376.3,1.4846216,12.700019,,,,,,
99,0.07,0.28,0.07,0.26,0.32,382,1.5299603,12.750859,,,,,,
